,formattedPrice,Neighborhood,Year Built
168,"$155,000.00",NAmes,1966
169,"$80,400.00",OldTown,1900
170,"$96,500.00",OldTown,1910
171,"$109,500.00",OldTown,1920
172,"$115,000.00",OldTown,1927
173,"$143,000.00",OldTown,1957
174,"$107,400.00",OldTown,1915
175,"$80,000.00",OldTown,1945
176,"$119,000.00",OldTown,1940
177,"$130,000.00",OldTown,1929
178,"$119,000.00",OldTown,1938
179,"$129,000.00",OldTown,1948
180,"$100,000.00",OldTown,1920
181,"$12,789.00",OldTown,1923
182,"$105,900.00",OldTown,1928
183,"$150,000.00",OldTown,1900
184,"$139,000.00",OldTown,1915
185,"$240,000.00",OldTown,1890
186,"$76,500.00",OldTown,1910
187,"$149,700.00",OldTown,1957
188,"$125,500.00",OldTown,1910
189,"$122,500.00",OldTown,1885
190,"$140,750.00",OldTown,1922
191,"$128,500.00",BrkSide,1950
192,"$209,500.00",BrkSide,1922
193,"$87,000.00",BrkSide,1925
194,"$134,000.00",BrkSide,1939
195,"$128,000.00",BrkSide,1940
196,"$132,000.00",BrkSide,1942
197,"$139,900.00",BrkSide,1948
198,"$123,900.00",BrkSide,1936
199,"$138,400.00",BrkSide,1930
200,"$109,500.00",OldTown,1923
201,"$140,000.00",OldTown,1921
202,"$149,500.00",OldTown,1915
203,"$159,900.00",OldTown,1912
204,"$122,000.00",OldTown,1920
205,"$110,000.00",IDOTRR,1963
206,"$55,000.00",IDOTRR,1930
207,"$140,000.00",OldTown,1900
208,"$244,400.00",ClearCr,1940
209,"$173,000.00",ClearCr,1959
210,"$107,500.00",ClearCr,1917
211,"$100,000.00",SWISU,1915
212,"$95,000.00",SWISU,1940
213,"$93,369.00",SWISU,1907
214,"$114,900.00",SWISU,1910
215,"$94,000.00",Sawyer,1875
216,"$136,000.00",Sawyer,1967
217,"$136,500.00",Sawyer,1968
218,"$131,500.00",Sawyer,1965
219,"$121,500.00",Sawyer,1957
220,"$125,000.00",Sawyer,1967
221,"$154,000.00",Sawyer,1968
222,"$137,900.00",Sawyer,1966
223,"$158,000.00",Sawyer,1969
224,"$137,250.00",Sawyer,1968
225,"$160,250.00",Sawyer,1978
226,"$163,000.00",Sawyer,1968
227,"$158,900.00",Sawyer,1978
228,"$328,000.00",ClearCr,1996
229,"$270,000.00",ClearCr,1977
230,"$85,000.00",Sawyer,1927
231,"$128,000.00",Sawyer,1950
232,"$260,000.00",ClearCr,1979
233,"$230,000.00",ClearCr,1978
234,"$124,000.00",Edwards,1938
235,"$83,000.00",Edwards,1920
236,"$144,500.00",Edwards,1950
237,"$129,000.00",Edwards,1956
238,"$127,000.00",Edwards,1947
239,"$128,000.00",Edwards,1954
240,"$186,000.00",Edwards,2009
241,"$308,030.00",Edwards,2009
242,"$114,000.00",Edwards,1964
243,"$84,900.00",Edwards,1946
244,"$178,000.00",SawyerW,1985
245,"$270,000.00",SawyerW,1987
246,"$218,000.00",SawyerW,1993
247,"$236,000.00",SawyerW,1993
248,"$147,000.00",SawyerW,1992
249,"$245,350.00",CollgCr,2008
250,"$206,000.00",CollgCr,2006
251,"$198,900.00",CollgCr,2009
252,"$187,000.00",CollgCr,2010
253,"$320,000.00",SawyerW,1990
254,"$138,500.00",SawyerW,1900
255,"$155,000.00",ClearCr,1971
256,"$159,000.00",CollgCr,1996
257,"$191,000.00",CollgCr,1997
258,"$200,500.00",CollgCr,1998
259,"$150,000.00",CollgCr,1977
260,"$161,750.00",CollgCr,1977
261,"$128,200.00",CollgCr,1976
262,"$127,000.00",CollgCr,1972
263,"$318,000.00",CollgCr,2003
264,"$272,000.00",CollgCr,2001
265,"$237,000.00",CollgCr,2003
266,"$240,000.00",CollgCr,1997
267,"$224,900.00",CollgCr,1998
268,"$143,750.00",CollgCr,2003
269,"$143,000.00",CollgCr,2004
270,"$232,000.00",CollgCr,2003
271,"$213,000.00",CollgCr,2004
272,"$185,500.00",CollgCr,2004
273,"$84,900.00",Edwards,1945
274,"$155,891.00",Edwards,1954
275,"$100,000.00",Edwards,1965
276,"$144,000.00",Edwards,1968
277,"$64,000.00",Edwards,1948
278,"$125,200.00",Edwards,1975
279,"$107,000.00",Edwards,1976
280,"$90,000.00",Edwards,1958
281,"$140,000.00",Edwards,2003
282,"$113,000.00",Edwards,1945
283,"$80,000.00",Edwards,1941
284,"$144,500.00",Edwards,1957
285,"$104,000.00",SWISU,1924
286,"$128,000.00",SWISU,1915
287,"$58,500.00",Edwards,1914
288,"$127,000.00",SWISU,1924
289,"$126,000.00",SWISU,1939
290,"$160,000.00",SWISU,1967
291,"$100,000.00",SWISU,1931
292,"$169,000.00",SWISU,1919
293,"$257,500.00",Crawfor,1941
294,"$215,000.00",Crawfor,1950
295,"$266,500.00",Crawfor,1941
296,"$335,000.00",Crawfor,1959
297,"$203,135.00",Crawfor,1994
298,"$185,000.00",Blueste,1989
299,"$162,500.00",Blueste,1989
300,"$289,000.00",Crawfor,1959
301,"$125,500.00",IDOTRR,1922
302,"$82,000.00",IDOTRR,1941
303,"$110,000.00",IDOTRR,1921
304,"$68,400.00",IDOTRR,1920
305,"$102,776.00",IDOTRR,1900
306,"$55,993.00",IDOTRR,1952
307,"$50,138.00",IDOTRR,1896
308,"$246,000.00",Crawfor,2004
309,"$254,900.00",Mitchel,1998
310,"$190,000.00",Mitchel,1977
311,"$201,000.00",Mitchel,2003
312,"$169,900.00",Mitchel,1976
313,"$170,000.00",Mitchel,1976
314,"$160,000.00",Timber,1948
315,"$220,000.00",Timber,2008
316,"$179,781.00",Timber,2009
317,"$174,000.00",Timber,2006
318,"$269,500.00",Timber,2009
319,"$214,900.00",Timber,2002
320,"$202,900.00",Timber,2002
321,"$378,500.00",Timber,2008
322,"$169,000.00",Mitchel,1965
323,"$173,500.00",Mitchel,2004
324,"$139,000.00",Mitchel,1971
325,"$166,500.00",Mitchel,1999
326,"$83,500.00",MeadowV,1973
327,"$119,500.00",MeadowV,1973
328,"$85,000.00",MeadowV,1976
329,"$76,000.00",MeadowV,1970
330,"$75,500.00",MeadowV,1972
331,"$88,250.00",MeadowV,1970
332,"$85,500.00",MeadowV,1972
333,"$130,000.00",Mitchel,1971
334,"$157,900.00",Mitchel,1962
335,"$149,900.00",Mitchel,1984
336,"$159,000.00",Mitchel,1985
337,"$136,000.00",Mitchel,1991
338,"$161,000.00",Mitchel,1969
339,"$285,000.00",Mitchel,1994
340,"$231,000.00",Mitchel,1993
341,"$124,500.00",NAmes,1956
342,"$157,000.00",NAmes,1974
343,"$345,000.00",NAmes,1972
344,"$189,500.00",Gilbert,1997
345,"$270,000.00",Gilbert,2003
346,"$189,000.00",Gilbert,1996
347,"$377,500.00",Gilbert,2006
348,"$168,500.00",Gilbert,1995
349,"$375,000.00",StoneBr,2004
350,"$278,000.00",StoneBr,2000
351,"$240,000.00",StoneBr,1998
352,"$239,500.00",StoneBr,1995
353,"$177,500.00",Gilbert,1998
354,"$185,000.00",Gilbert,1998
355,"$191,000.00",Gilbert,1998
356,"$178,000.00",Gilbert,1993
357,"$185,000.00",Gilbert,1993
358,"$181,316.00",Gilbert,1994
359,"$166,000.00",Gilbert,1993
360,"$178,000.00",Gilbert,1992
361,"$174,000.00",Gilbert,1994
362,"$173,000.00",Gilbert,1992
363,"$225,000.00",Gilbert,1999
364,"$180,500.00",Gilbert,1990
365,"$187,500.00",StoneBr,1984
366,"$501,837.00",StoneBr,2008
367,"$372,500.00",StoneBr,2008
368,"$260,000.00",StoneBr,2005
369,"$185,000.00",Gilbert,1977
370,"$260,000.00",NWAmes,1980
371,"$181,000.00",NWAmes,1979
372,"$82,500.00",NWAmes,1977
373,"$215,000.00",NWAmes,1977
374,"$154,000.00",NWAmes,1978
375,"$200,000.00",NWAmes,1978
376,"$249,000.00",NWAmes,1980
377,"$187,500.00",NWAmes,1980
378,"$184,000.00",NWAmes,1978
379,"$278,000.00",NWAmes,1981
380,"$157,000.00",NWAmes,1978
381,"$152,000.00",NWAmes,1976
382,"$197,500.00",NWAmes,1976
383,"$240,900.00",Somerst,2003
384,"$263,435.00",Somerst,2009
385,"$220,000.00",Somerst,2000
386,"$235,000.00",Somerst,2002
387,"$213,000.00",NWAmes,1975
388,"$167,900.00",NWAmes,1974
389,"$158,000.00",NWAmes,1975
390,"$165,000.00",NWAmes,1974
391,"$158,000.00",NWAmes,1972
392,"$136,000.00",NAmes,1974
393,"$148,500.00",NAmes,1970
394,"$156,000.00",NAmes,1969
395,"$128,000.00",NAmes,1970
396,"$143,000.00",NAmes,1971
397,"$76,500.00",NAmes,1970
398,"$120,500.00",NAmes,1970
399,"$124,500.00",NAmes,1970
400,"$97,000.00",NAmes,1971
401,"$130,000.00",NAmes,1971
402,"$111,000.00",BrDale,1973
403,"$125,000.00",BrDale,1970
404,"$112,000.00",BrDale,1971
405,"$97,000.00",BrDale,1972
406,"$118,000.00",BrDale,1972
407,"$119,500.00",BrDale,1972
408,"$143,750.00",NPkVill,1976
409,"$146,000.00",NPkVill,1976
410,"$148,500.00",NPkVill,1976
411,"$123,000.00",NPkVill,1975
412,"$147,000.00",NPkVill,1974
413,"$137,900.00",NPkVill,1977
414,"$147,000.00",NPkVill,1978
415,"$148,500.00",NPkVill,1978
416,"$138,000.00",NPkVill,1978
417,"$128,500.00",NPkVill,1976
418,"$100,000.00",NAmes,1967
419,"$148,800.00",NAmes,1966
420,"$337,500.00",NridgHt,2006
421,"$462,000.00",NridgHt,2007
422,"$485,000.00",NridgHt,2008
423,"$555,000.00",NridgHt,2008
424,"$325,000.00",NridgHt,2006
425,"$256,300.00",NridgHt,2007
426,"$253,293.00",NridgHt,2008
427,"$398,800.00",NridgHt,2009
428,"$335,000.00",NridgHt,2008
429,"$404,000.00",NridgHt,2008
430,"$402,861.00",NridgHt,2009
431,"$451,950.00",NridgHt,2008
432,"$610,000.00",NridgHt,2007
433,"$582,933.00",NridgHt,2008
434,"$360,000.00",NridgHt,2008
435,"$296,000.00",NridgHt,2004
436,"$409,900.00",NridgHt,2007
437,"$255,500.00",NridgHt,2006
438,"$335,000.00",NridgHt,2008
439,"$274,900.00",NridgHt,2004
440,"$300,000.00",NridgHt,2006
441,"$324,000.00",NridgHt,2008
442,"$350,000.00",NridgHt,2004
443,"$280,000.00",NridgHt,2004
444,"$284,000.00",NridgHt,2003
445,"$269,500.00",NridgHt,2003
446,"$233,170.00",NridgHt,2009
447,"$386,250.00",NridgHt,2003
448,"$445,000.00",NridgHt,2003
449,"$290,000.00",NridgHt,2003
450,"$255,900.00",NridgHt,2006
451,"$213,000.00",NridgHt,2005
452,"$196,000.00",NridgHt,2005
453,"$184,500.00",NridgHt,2005
454,"$212,500.00",NridgHt,2007
455,"$230,000.00",NridgHt,2007
456,"$552,000.00",NridgHt,2004
457,"$382,500.00",NridgHt,2003
458,"$320,000.00",NridgHt,2008
459,"$248,500.00",NridgHt,2008
460,"$286,500.00",NridgHt,2002
461,"$254,000.00",NridgHt,2006
462,"$173,000.00",NridgHt,2003
463,"$173,000.00",NridgHt,2003
464,"$184,000.00",Gilbert,2005
465,"$167,800.00",Gilbert,2005
466,"$174,000.00",Gilbert,2005
467,"$174,000.00",Gilbert,2005
468,"$174,000.00",Blmngtn,2007
469,"$175,900.00",Blmngtn,2007
470,"$192,500.00",Blmngtn,2005
471,"$181,000.00",Blmngtn,2005
472,"$180,000.00",Blmngtn,2005
473,"$160,200.00",Blmngtn,2005
474,"$188,500.00",Gilbert,2004
475,"$200,000.00",Gilbert,2002
476,"$170,000.00",Gilbert,2004
477,"$189,500.00",Gilbert,2004
478,"$184,100.00",Gilbert,2002
479,"$195,500.00",Gilbert,2004
480,"$192,000.00",Gilbert,2003
481,"$178,000.00",Gilbert,2003
482,"$207,500.00",NridgHt,2007
483,"$236,000.00",Gilbert,2000
484,"$257,500.00",Gilbert,2002
485,"$244,000.00",Gilbert,2000
486,"$167,000.00",Gilbert,2004
487,"$179,000.00",Gilbert,2000
488,"$190,000.00",Gilbert,2000
489,"$156,000.00",Gilbert,1999
490,"$245,000.00",Gilbert,1999
491,"$181,000.00",Gilbert,1999
492,"$214,000.00",Gilbert,1999
493,"$168,000.00",Gilbert,1999
494,"$337,000.00",NoRidge,1999
495,"$403,000.00",NoRidge,1995
496,"$327,000.00",NoRidge,2000
497,"$340,000.00",NoRidge,1998
498,"$336,000.00",NoRidge,1998
499,"$265,000.00",NoRidge,1996
500,"$315,000.00",NoRidge,1994
501,"$260,000.00",NoRidge,1993
502,"$260,000.00",NoRidge,1995
503,"$263,550.00",NoRidge,1993
504,"$402,000.00",NoRidge,1994
505,"$248,000.00",NoRidge,1994
506,"$244,600.00",Somerst,2008
507,"$275,000.00",Somerst,2008
508,"$257,500.00",Somerst,2008
509,"$287,090.00",Somerst,2008
510,"$275,500.00",Somerst,2007
511,"$245,000.00",Somerst,2006
512,"$253,000.00",Somerst,2005
513,"$468,000.00",Somerst,2005
514,"$252,678.00",Somerst,2009
515,"$210,000.00",Somerst,2008
516,"$208,300.00",Somerst,2009
517,"$225,000.00",Somerst,2008
518,"$229,456.00",Somerst,2009
519,"$229,800.00",Somerst,2008
520,"$250,000.00",Somerst,2007
521,"$370,878.00",Somerst,2009
522,"$238,500.00",Somerst,2006
523,"$310,000.00",Somerst,2008
524,"$270,000.00",Somerst,2006
525,"$252,000.00",Somerst,2005
526,"$241,000.00",Somerst,2006
527,"$264,500.00",Somerst,2008
528,"$291,000.00",Somerst,2006
529,"$263,000.00",Somerst,2003
530,"$185,000.00",Somerst,2004
531,"$234,500.00",Somerst,2003
532,"$209,000.00",Somerst,2003
533,"$159,000.00",SawyerW,2007
534,"$152,000.00",SawyerW,2006
535,"$143,500.00",SawyerW,2004
536,"$193,000.00",SawyerW,2004
537,"$203,000.00",SawyerW,2004
538,"$184,900.00",SawyerW,2003
539,"$159,000.00",SawyerW,2004
540,"$142,000.00",SawyerW,2004
541,"$153,000.00",SawyerW,2003
542,"$224,243.00",SawyerW,2008
543,"$220,000.00",SawyerW,1996
544,"$257,000.00",SawyerW,2005
545,"$189,000.00",SawyerW,2001
546,"$171,500.00",SawyerW,1992
547,"$120,000.00",SawyerW,1980
548,"$145,000.00",SawyerW,1990
549,"$184,000.00",SawyerW,1994
550,"$162,000.00",SawyerW,1986
551,"$160,000.00",SawyerW,1981
552,"$82,000.00",SawyerW,1950
553,"$76,000.00",SawyerW,1928
554,"$110,000.00",Sawyer,1962
555,"$135,000.00",Sawyer,1977
556,"$141,000.00",Sawyer,1961
557,"$122,000.00",Sawyer,1961
558,"$124,100.00",Sawyer,1965
559,"$129,000.00",Sawyer,1963
560,"$131,400.00",Sawyer,1961
561,"$62,383.00",Sawyer,1965
562,"$123,000.00",Sawyer,1962
563,"$275,000.00",Veenker,1980
564,"$235,000.00",NoRidge,1991
565,"$280,750.00",Somerst,2004
566,"$164,500.00",Somerst,2009
567,"$173,733.00",Somerst,2009
568,"$222,000.00",Somerst,2008
569,"$195,000.00",Somerst,2008
570,"$172,500.00",Somerst,1999
571,"$180,000.00",Somerst,2000
572,"$156,000.00",Somerst,1999
573,"$172,500.00",Somerst,1999
574,"$318,750.00",Veenker,1977
575,"$211,500.00",Greens,1981
576,"$241,600.00",Veenker,1981
577,"$180,500.00",Veenker,1976
578,"$150,000.00",Sawyer,1976
579,"$154,000.00",NWAmes,1968
580,"$185,000.00",NWAmes,1970
581,"$185,750.00",NWAmes,1968
582,"$200,000.00",NWAmes,1973
583,"$206,000.00",NWAmes,1974
584,"$162,000.00",NWAmes,1972
585,"$256,900.00",NWAmes,1967
586,"$197,900.00",NWAmes,1967
587,"$163,000.00",NWAmes,1969
588,"$113,000.00",NWAmes,1969
589,"$230,000.00",NWAmes,1977
590,"$167,900.00",NWAmes,1977
591,"$213,250.00",NWAmes,1998
592,"$227,000.00",NWAmes,2001
593,"$130,000.00",NAmes,1967
594,"$143,000.00",NAmes,1967
595,"$117,500.00",NAmes,1965
596,"$168,500.00",NWAmes,1974
597,"$172,500.00",NWAmes,1971
598,"$161,500.00",NWAmes,1967
599,"$141,500.00",NAmes,1960
600,"$118,000.00",NAmes,1959
601,"$127,500.00",NAmes,1959
602,"$140,000.00",NAmes,1957
603,"$177,625.00",NAmes,1956
604,"$110,000.00",NAmes,1958
605,"$167,000.00",NAmes,1964
606,"$153,000.00",NAmes,1961
607,"$145,100.00",NAmes,1964
608,"$154,000.00",NAmes,1966
609,"$177,500.00",NAmes,1965
610,"$158,000.00",NAmes,1964
611,"$124,500.00",NAmes,1959
612,"$174,500.00",NAmes,1961
613,"$122,000.00",NAmes,1955
614,"$82,500.00",BrkSide,1940
615,"$110,000.00",BrkSide,1950
616,"$149,500.00",NAmes,1953
617,"$175,000.00",NAmes,1967
618,"$167,000.00",NAmes,1953
619,"$128,900.00",NAmes,1956
620,"$140,000.00",NAmes,1950
621,"$147,000.00",NAmes,1950
622,"$124,000.00",NAmes,1967
623,"$187,500.00",NAmes,1961
624,"$159,000.00",NAmes,1963
625,"$256,000.00",NAmes,1966
626,"$205,000.00",NAmes,1965
627,"$193,500.00",NAmes,1968
628,"$110,000.00",NAmes,1968
629,"$104,900.00",NAmes,1920
630,"$150,000.00",NAmes,1956
631,"$156,500.00",NAmes,1957
632,"$176,000.00",NAmes,1960
633,"$149,500.00",NAmes,1959
634,"$139,000.00",NAmes,1958
635,"$155,000.00",NAmes,1958
636,"$120,000.00",NAmes,1956
637,"$153,000.00",NAmes,1955
638,"$144,000.00",NAmes,1956
639,"$176,000.00",NAmes,1962
640,"$153,000.00",NAmes,1954
641,"$135,000.00",NAmes,1958
642,"$131,000.00",NAmes,1954
643,"$123,000.00",NAmes,1953
644,"$126,000.00",NAmes,1951
645,"$115,000.00",NAmes,1955
646,"$164,900.00",NAmes,1951
647,"$113,000.00",NAmes,1945
648,"$145,500.00",NAmes,1952
649,"$102,900.00",NAmes,1953
650,"$95,000.00",OldTown,1900
651,"$152,500.00",NAmes,1948
652,"$129,900.00",NAmes,1950
653,"$132,000.00",NAmes,1948
654,"$99,900.00",OldTown,1958
655,"$135,000.00",OldTown,1916
656,"$149,000.00",OldTown,1939
657,"$114,000.00",OldTown,1900
658,"$109,500.00",OldTown,1924
659,"$125,000.00",OldTown,1925
660,"$142,900.00",OldTown,1915
661,"$156,500.00",OldTown,1910
662,"$59,000.00",OldTown,1940
663,"$105,000.00",OldTown,1920
664,"$106,000.00",OldTown,1920
665,"$78,500.00",OldTown,1890
666,"$190,000.00",NAmes,1969
667,"$154,000.00",NAmes,1963
668,"$163,000.00",NAmes,1967
669,"$200,000.00",NAmes,1969
670,"$143,500.00",NAmes,1958
671,"$135,000.00",NAmes,1957
672,"$153,000.00",NAmes,1957
673,"$157,500.00",NAmes,1960
674,"$113,500.00",NAmes,1958
675,"$133,000.00",NAmes,1949
676,"$92,900.00",NAmes,1950
677,"$128,500.00",NAmes,1950
678,"$90,000.00",NAmes,1949
679,"$138,000.00",NAmes,1950
680,"$128,000.00",NAmes,1958
681,"$139,000.00",NAmes,1958
682,"$118,900.00",NAmes,1952
683,"$138,000.00",NAmes,1959
684,"$132,500.00",NAmes,1959
685,"$133,500.00",NAmes,1949
686,"$135,000.00",NAmes,1948
687,"$144,750.00",NAmes,1964
688,"$145,000.00",NAmes,1978
689,"$127,000.00",NAmes,1963
690,"$109,500.00",NAmes,1962
691,"$115,000.00",OldTown,1926
692,"$110,000.00",OldTown,1910
693,"$128,900.00",OldTown,1935
694,"$103,500.00",OldTown,1910
695,"$66,500.00",OldTown,1941
696,"$130,000.00",OldTown,1910
697,"$129,000.00",OldTown,1910
698,"$150,000.00",OldTown,1939
699,"$107,500.00",OldTown,1892
700,"$94,550.00",OldTown,1920
701,"$124,500.00",OldTown,1952
702,"$135,000.00",OldTown,1946
703,"$103,000.00",OldTown,1910
704,"$93,000.00",OldTown,1953
705,"$129,500.00",OldTown,1950
706,"$93,000.00",OldTown,1954
707,"$80,000.00",OldTown,1920
708,"$45,000.00",OldTown,1940
709,"$37,900.00",OldTown,1910
710,"$91,300.00",OldTown,1938
711,"$99,500.00",OldTown,1923
712,"$113,000.00",OldTown,1920
713,"$87,500.00",OldTown,1910
714,"$110,000.00",OldTown,1947
715,"$106,000.00",OldTown,1898
716,"$265,979.00",OldTown,1880
717,"$160,000.00",OldTown,1900
718,"$119,000.00",OldTown,1917
719,"$168,000.00",OldTown,1882
720,"$58,500.00",OldTown,1910
721,"$143,000.00",OldTown,1920
722,"$85,000.00",OldTown,1910
723,"$124,900.00",OldTown,1890
724,"$119,000.00",OldTown,1920
725,"$146,500.00",OldTown,1910
726,"$34,900.00",IDOTRR,1920
727,"$44,000.00",IDOTRR,1900
728,"$223,500.00",BrkSide,1923
729,"$149,000.00",BrkSide,1923
730,"$205,000.00",BrkSide,1925
731,"$137,000.00",BrkSide,1930
732,"$121,000.00",BrkSide,1916
733,"$128,000.00",BrkSide,1936
734,"$134,900.00",BrkSide,1937
735,"$117,000.00",BrkSide,1925
736,"$132,500.00",BrkSide,1939
737,"$93,000.00",BrkSide,1924
738,"$119,000.00",BrkSide,1926
739,"$100,000.00",BrkSide,1924
740,"$141,500.00",BrkSide,1936
741,"$133,000.00",BrkSide,1935
742,"$60,000.00",BrkSide,1936
743,"$105,000.00",BrkSide,1931
744,"$115,000.00",BrkSide,1925
745,"$150,000.00",BrkSide,1938
746,"$126,500.00",BrkSide,1925
747,"$214,500.00",BrkSide,1916
748,"$167,500.00",BrkSide,1910
749,"$155,000.00",OldTown,1915
750,"$155,000.00",OldTown,1915
751,"$179,900.00",OldTown,1915
752,"$104,000.00",OldTown,1912
